Game Title:,Thanksgiving 2025 Jeopardy,,,
Host Password,host123,,,
,,,,
Mosca Thanksgiving,,,,
The Berkshires,Beantown v.s. The Big Apple,Thanksgiving,Reefer Madness,First World Problems
"Which Grammy-winning singer-songwriter, known for classics like Sweet Baby James and Fire and Rain, has become a beloved Fourth of July tradition at Tanglewood, headlining sold-out summer concerts there for decades?|James Taylor","In the Boston vs. New York clam chowder rivalry, what is the main ingredient difference that sets the New York version apart?|A tomato-based broth","Which NFL team has played on Thanksgiving every year since 1934, except during World War II?|Detroit Lions",Which stoner comedy stars Seth Rogen and James Franco as a pot dealer and his client on the run after witnessing a murder?|Pineapple Express,"Which French fashion house invented the “Birkin bag,” often with multi-year waitlists?|Hermès"
What iconic 19th-century literary figure wrote Moby-Dick while living at Arrowhead in Pittsfield?|Herman Melville,"In the cultural rivalry between Boston’s cobblestones and New York’s skyscrapers, what Boston landmark is often touted as “America’s oldest public park,” beating NYC’s Central Park by over 200 years?|Boston Common",What was the name of the Native American interpreter who helped the Pilgrims survive their first winter?|Tisquantum (Squanto),What cannabis company is recognized as the world's largest by revenue and market capitalization?|Curaleaf,What delicacy is often served off a mother-of-pearl spoon to avoid metallic flavor?|Caviar
Jacob's Pillow is best known for being an international center for what performing art?|Dance,"Before Tom Brady, who was the last Patriots quarterback to defeat the New York Giants in New York, and in what year did it occur?|Drew Bledsoe, 1996",What 1863 Civil War battle victory directly preceded Abraham Lincoln’s proclamation establishing Thanksgiving as a national holiday?|The Battle of Gettysburg,What U.S. state was the first to legalize recreational marijuana?|Colorado (or Washington - both passed on the same 2012 ballot),Which high-end hotel chain uses an emblem of a lion and crown as its logo?|The Ritz-Carlton
What Berkshire town is home to the Norman Rockwell Museum?|Stockbridge,"In a rare 2000 interleague matchup at Fenway Park, who became the only Mets player ever to hit a home run off Pedro Martínez?|Mike Piazza","Which side dish, now considered a Thanksgiving staple, was invented in 1955 as a recipe developed by Campbell's test kitchen?|Green bean casserole","Before synthetic fibers, U.S. farmers were required by law to grow cannabis hemp for rope and sails. Which Founding Father wrote about owning a hemp farm?|George Washington","Which picturesque lake is known for its dramatic mountain backdrop, deep blue waters, and iconic historic villas like Villa del Balbianello and Villa Carlotta?|Lake Como"
What industrial giant is responsible for the decades of PCB contamination that made Silver Lake one of the most infamous polluted lakes in Massachusetts?|General Electric (GE),"In 2013, who led the Knicks to their last playoff series win over the Celtics while also winning Defensive Player of the Year?|Tyson Chandler",Which giant balloon was the first character balloon ever featured in the Macy's Thanksgiving Day Parade in 1927?|Felix the Cat,What rugged mountain range along the Afghanistan-Pakistan border lends its name to many famous cannabis strains because of its long history of hashish-producing plants?|The Hindu Kush,Sparkling wines made in France but outside the Champagne region fall under what general label?|Crémant
,,,,
Final Jeopardy,,,,
"Between the Moscas, Secrests, and Steinbergs, what are the names of all the grandchildren (most correct answers win)|Henry, Emmett, Beau, Madison, ",1000,,,
